,RECORD_TYPE,DATA_SOURCE,RECORD_ID,Loan_Range,BUSINESS_NAME_ORG,BUSINESS_ADDR_LINE1,BUSINESS_ADDR_CITY,BUSINESS_ADDR_STATE,BUSINESS_ADDR_POSTAL_CODE,NAICS_Code,Business_Type,OwnedByRaceEthnicity,OwnedBy,OwnedByVeteran,NonProfit,JobsReported,DateApproved,Lender,CD
765,ORGANIZATION,PPP_LOANS,8412,"d $350,000-1 million",FAST TRACK CONSTRUCTION,"4290 N Pecos Road, Ste 2",LAS VEGAS,NV,89115,236220.0,Subchapter S Corporation,Hispanic,Female Owned,Non-Veteran,,20.0,04/14/2020,"Zions Bank, A Division of",NV-01
867,ORGANIZATION,PPP_LOANS,8919,"d $350,000-1 million",HOLTZEN AND JOHNSON PLLC,6950 SMOKE RANCH RD STE 200,LAS VEGAS,NV,89128,621210.0,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,40.0,04/11/2020,City National Bank,NV-01
2266,ORGANIZATION,PPP_LOANS,12366,"e $150,000-350,000",HOPE CHRISTIAN HEALTH CENTER CORP,4040 NORTH MARTIN LUTHER KING BLVD,NORTH LAS VEGAS,NV,89032,813110.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,05/03/2020,"Wells Fargo Bank, National Association",NV-04
1871,ORGANIZATION,PPP_LOANS,11541,"e $150,000-350,000",CONNOLLY ENTERPRISES LLC,8870 S Maryland Pkwy Suite 135,Las Vegas,NV,89123,561499.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25.0,05/03/2020,Cross River Bank,NV-03
1539,ORGANIZATION,PPP_LOANS,10849,"e $150,000-350,000","ADVANCED LEGAL SYSTEMS, INC.","6280 South Valley View Blvd, Suite 624",Las Vegas,NV,89118,541511.0,Corporation,Unanswered,Male Owned,Non-Veteran,,9.0,04/16/2020,WebBank,NV-03
3056,ORGANIZATION,PPP_LOANS,15683,"e $150,000-350,000",SHAUL MARKETING INC,4480 CALIMESA ST,LAS VEGAS,NV,89115,484210.0,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",NV-01
1588,ORGANIZATION,PPP_LOANS,10932,"e $150,000-350,000",AMAZON MASONRY INC,4279 BERTSOS DR,LAS VEGAS,NV,89103,238140.0,Corporation,Unanswered,Male Owned,Non-Veteran,,20.0,04/14/2020,First Security Bank of Nevada,NV-01
3403,ORGANIZATION,PPP_LOANS,16480,"e $150,000-350,000",WATER WINGS CROSSROADS CORP,4245 S GRAND CANYON DR,LAS VEGAS,NV,89147,812990.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,50.0,04/07/2020,Town & Country Bank,NV-03
1420,ORGANIZATION,PPP_LOANS,10587,"d $350,000-1 million","VANTAGE CONCEPTS , LLC",5581 S Cameron St. Suite A,Las Vegas,NV,89118,453998.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,102.0,04/14/2020,"Readycap Lending, LLC",NV-03
538,ORGANIZATION,PPP_LOANS,8116,"d $350,000-1 million",AZTEC MOTORS LLC,2711 E Sahara Ave.,LAS VEGAS,NV,89104,441120.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33.0,04/14/2020,"Zions Bank, A Division of",NV-01
2213,ORGANIZATION,PPP_LOANS,12219,"e $150,000-350,000","HADFIELD DEVELOPMENT, INC.",5510 FORT APACHE RD,LAS VEGAS,NV,89148,236220.0,Corporation,Unanswered,Male Owned,Unanswered,,10.0,04/27/2020,First Savings Bank,NV-03
2798,ORGANIZATION,PPP_LOANS,15101,"e $150,000-350,000",PARK ON FREMONT LLC,"1028 FREMONT ST., #200",LAS VEGAS,NV,89101,722511.0,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,51.0,04/13/2020,City National Bank,NV-01
1497,ORGANIZATION,PPP_LOANS,10689,"e $150,000-350,000",986 SPECIALTY PHARMACY #2 INC.,241 N BUFFALO DR Ste 150,LAS VEGAS,NV,89145,446110.0,Corporation,Asian,Female Owned,Non-Veteran,,20.0,04/09/2020,East West Bank,NV-01
1503,ORGANIZATION,PPP_LOANS,10701,"e $150,000-350,000","A GENTLE TOUCH HOME HEALTH CARE, INC.","2001 S Jones Blvd, Ste. K.",Las Vegas,NV,89146,621610.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,170.0,04/27/2020,Idaho First Bank,NV-01
1681,ORGANIZATION,PPP_LOANS,11245,"e $150,000-350,000",BC RESTAURANT LV LLC,10845 GRIFFITH PEAK DR STE 520,LAS VEGAS,NV,89135,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9.0,04/15/2020,Western Alliance Bank,NV-03
2248,ORGANIZATION,PPP_LOANS,12318,"e $150,000-350,000","HERITAGE INN OF LAS VEGAS, LLC",4655 Dean Martin Dr.,LAS VEGAS,NV,89103,721110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,60.0,04/06/2020,Hickory Point Bank and Trust,NV-01
2989,ORGANIZATION,PPP_LOANS,15603,"e $150,000-350,000",ROXMEDIA GROUP LLC,2900 E PATRICK LN STE 7,LAS VEGAS,NV,89120,561920.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8.0,04/16/2020,"JPMorgan Chase Bank, National Association",NV-03
734,ORGANIZATION,PPP_LOANS,8374,"d $350,000-1 million",ECONNECT INC.,10180 CORBETT ST,LAS VEGAS,NV,89149,541512.0,Corporation,White,Male Owned,Unanswered,,25.0,04/15/2020,Bank of George,NV-04
1403,ORGANIZATION,PPP_LOANS,10501,"d $350,000-1 million",TRITON SECURITY INC.,"800 South Jones Blvd,",Las Vegas,NV,89107,561210.0,Corporation,White,Male Owned,Non-Veteran,,236.0,04/16/2020,Regions Bank,NV-01
1270,ORGANIZATION,PPP_LOANS,10310,"d $350,000-1 million",SIGNATURE MANAGEMENT LLC,801 S Rancho Drive E-4,LAS VEGAS,NV,89106,531311.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,56.0,04/29/2020,"Bank of America, National Association",NV-01
1626,ORGANIZATION,PPP_LOANS,10991,"e $150,000-350,000",ARJ SOLUTIONS INC,929 West Bartlett Avenue,Las Vegas,NV,89106,621420.0,Corporation,Unanswered,Unanswered,Unanswered,,27.0,08/07/2020,Fountainhead SBF LLC,NV-01
3093,ORGANIZATION,PPP_LOANS,15752,"e $150,000-350,000",SINH TRINH PROFESSIONAL CORP,"6320 Simmons Street, Suite 100",NORTH LAS VEGAS,NV,89031,621210.0,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/15/2020,"Zions Bank, A Division of",NV-04
3101,ORGANIZATION,PPP_LOANS,15760,"e $150,000-350,000",SKLAR WILLIAMS PLLC,410 SOUTH RAMPART BLVD STE 350,LAS VEGAS,NV,89145,541110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19.0,04/13/2020,Glacier Bank,NV-01
3238,ORGANIZATION,PPP_LOANS,16116,"e $150,000-350,000","TEXTBROKER INTERNATIONAL, LLC",8076 W Sahara Ave Fl 2 0.0,Las Vegas,NV,89117,541613.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,34.0,04/10/2020,"JPMorgan Chase Bank, National Association",NV-03
433,ORGANIZATION,PPP_LOANS,7853,c $1-2 million,UNITED COIN MACHINE COMPANY,600 PILOT RD ste e,LAS VEGAS,NV,89119,713290.0,Corporation,White,Male Owned,Unanswered,,137.0,04/27/2020,Stockman Bank of Montana,NV-01
58,ORGANIZATION,PPP_LOANS,7193,"e $150,000-350,000","FAMILY OPTIONS, LLC",188 FRONTAGE ROAD 2142,LAS VEGAS,NM,87701,621610.0,Limited  Liability Company(LLC),Hispanic,Female Owned,Non-Veteran,,60.0,04/13/2020,Community 1st Bank Las Vegas,NM-03
1897,ORGANIZATION,PPP_LOANS,11600,"e $150,000-350,000",CREWS IAD LLC,8685 W. SAHARA AVENUE SUITE 280,LAS VEGAS,NV,89117,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0.0,08/06/2020,"Wells Fargo Bank, National Association",NV-03
1108,ORGANIZATION,PPP_LOANS,9959,"d $350,000-1 million",NOA LLC,2020 PAMA LN,LAS VEGAS,NV,89119,446120.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,115.0,04/11/2020,Western Alliance Bank,NV-01
3201,ORGANIZATION,PPP_LOANS,15973,"e $150,000-350,000","SW PRODUCTIONS, LLC",10690 Southern Highlands Pkwy Suite 103,LAS VEGAS,NV,89141,722511.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,47.0,04/10/2020,"Zions Bank, A Division of",NV-03
438,ORGANIZATION,PPP_LOANS,7858,c $1-2 million,VEGAS VENTURE 1 LLC,3570 S Las Vegas Blvd,LAS VEGAS,NV,89109,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,170.0,04/07/2020,City National Bank of Florida,NV-01
291,ORGANIZATION,PPP_LOANS,7705,c $1-2 million,J & J ENTERPRISES SERVICES INC,5920 W. Cougar Ave,LAS VEGAS,NV,89139,238990.0,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/10/2020,Western Alliance Bank,NV-03
2699,ORGANIZATION,PPP_LOANS,13365,"e $150,000-350,000","NEVADA P.E.P, INC.",7211 W. Charleston Ave.,Las Vegas,NV,89117,624120.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,33.0,05/03/2020,"Zions Bank, A Division of",NV-03
507,ORGANIZATION,PPP_LOANS,7946,"d $350,000-1 million",ALL AMERICAN REPAIR SERVICES INC,5606 S. EASTERN AVE,LAS VEGAS,NV,89119,811490.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/07/2020,Town & Country Bank,NV-01
3251,ORGANIZATION,PPP_LOANS,16131,"e $150,000-350,000",THE INVESTMENT COUNSEL COMPANY OF NEVADA,10000 W. Charleston Blvd. Suite 280,LAS VEGAS,NV,89135,523991.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,21.0,04/15/2020,"Zions Bank, A Division of",NV-03
2633,ORGANIZATION,PPP_LOANS,13088,"e $150,000-350,000","MONTECITO ANIMAL HOSPITAL, LLC",2385 E. TROPICANA AVE,LAS VEGAS,NV,89119,541940.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,52.0,04/15/2020,Western Alliance Bank,NV-01
948,ORGANIZATION,PPP_LOANS,9400,"d $350,000-1 million","KC MAINTENANCE, INC.",4710 West Post Road 145,Las Vegas,NV,89118,236115.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,29.0,05/01/2020,Cross River Bank,NV-03
1135,ORGANIZATION,PPP_LOANS,10001,"d $350,000-1 million",PANDA WINDOWS & DOORS OPERATIONS LLC,3415 BELLINGTON RD,NORTH LAS VEGAS,NV,89030,551112.0,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,81.0,04/10/2020,Meadows Bank,NV-01
472,ORGANIZATION,PPP_LOANS,7892,"d $350,000-1 million","ABC AUTOMOTIVE INVESTMENTS II, INC.",6200 CENTENNIAL CENTER BLVD,LAS VEGAS,NV,89149,441110.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,79.0,04/13/2020,Comerica Bank,NV-04
807,ORGANIZATION,PPP_LOANS,8803,"d $350,000-1 million",GET FRESH KITCHEN,6425 S ESCONDIDO ST,LAS VEGAS,NV,89119,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",NV-01
3021,ORGANIZATION,PPP_LOANS,15640,"e $150,000-350,000",SANDBAG STORE LLC,2752 Abels Ln,LAS VEGAS,NV,89115,453998.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18.0,04/28/2020,"Bank of America, National Association",NV-01
2739,ORGANIZATION,PPP_LOANS,13429,"e $150,000-350,000",NU TONE INC.,4655 QUALITY CT,LAS VEGAS,NV,89103,236118.0,Subchapter S Corporation,White,Female Owned,Non-Veteran,,12.0,04/15/2020,City National Bank,NV-01
3302,ORGANIZATION,PPP_LOANS,16278,"e $150,000-350,000",TROJAN CONSTRUCTION LLC,3111 So Valley View Blvd B-103,Las Vegas,NV,89102,236116.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,49.0,06/25/2020,Cross River Bank,NV-01
2929,ORGANIZATION,PPP_LOANS,15495,"e $150,000-350,000",REAL PROPERTY HEALTH FACILITIES CORP.,9960 West Cheyenne Ave Suite 110,Las Vegas,NV,89129,561110.0,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,15.0,06/09/2020,"Zions Bank, A Division of",NV-04
2481,ORGANIZATION,PPP_LOANS,12847,"e $150,000-350,000","LAW OFFICES OF ERIC R. BLANK, P.C.",7860 SAHARA AVE W,LAS VEGAS,NV,89117,541110.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13.0,04/29/2020,"U.S. Bank, National Association",NV-03
2104,ORGANIZATION,PPP_LOANS,11991,"e $150,000-350,000",FLOORING EXHIBITS LLC,4445 POLARIS AVE,LAS VEGAS,NV,89103,442210.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,22.0,05/03/2020,"Citibank, N.A.",NV-01
2780,ORGANIZATION,PPP_LOANS,15007,"e $150,000-350,000",PACIFIC BERNSEN INDUSTRIES LTD,680 TAM O'SHANTER DRIVE,LAS VEGAS,NV,89109,541611.0,Corporation,Unanswered,Male Owned,Unanswered,,0.0,05/03/2020,"Wells Fargo Bank, National Association",NV-01
2314,ORGANIZATION,PPP_LOANS,12452,"e $150,000-350,000","INTEGRAMED MEDICAL - KING, PLLC",5320 S Rainbow Blvd,LAS VEGAS,NV,89118,621399.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17.0,04/27/2020,Utah First FCU,NV-03
1366,ORGANIZATION,PPP_LOANS,10453,"d $350,000-1 million","THE SIEGEL GROUP, LLC.",6767 W Charleston Blvd Ste 130,Las Vegas,NV,89146,561210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,64.0,04/30/2020,"Zions Bank, A Division of",NV-01
2685,ORGANIZATION,PPP_LOANS,13347,"e $150,000-350,000","NEVADA ADULT DAY HEALTHCARE CENTERS, INC.",2008 S JONES BLVD,LAS VEGAS,NV,89146,624120.0,Corporation,Asian,Male Owned,Non-Veteran,,35.0,04/10/2020,Western Alliance Bank,NV-01
2985,ORGANIZATION,PPP_LOANS,15599,"e $150,000-350,000",ROOFTOP DIGITAL IMAGING,4630 Arville St Suite B,Las Vegas,NV,89103,323111.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15.0,05/03/2020,"Zions Bank, A Division of",NV-01
2269,ORGANIZATION,PPP_LOANS,12369,"e $150,000-350,000",HOSPICE SERVICES OF NEVADA INC,3100 W SAHARA AVE STE 214,LAS VEGAS,NV,89102,621610.0,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",NV-01
1271,ORGANIZATION,PPP_LOANS,10312,"d $350,000-1 million","SILVER NUGGET GAMING, LLC",2140 Las Vegas Blvd. N,NORTH LAS VEGAS,NV,89030,713210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/27/2020,Lexicon Bank,NV-01
3285,ORGANIZATION,PPP_LOANS,16225,"e $150,000-350,000",TOOZA INC,3943 SPRING MOUNTAIN RD,LAS VEGAS,NV,89102,722511.0,Corporation,Unanswered,Male Owned,Non-Veteran,,0.0,05/01/2020,"Wells Fargo Bank, National Association",NV-01
2073,ORGANIZATION,PPP_LOANS,11954,"e $150,000-350,000",FABULOUS LLC,9611 Trailwood Drive,LAS VEGAS,NV,89134,447110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,55.0,04/14/2020,"Zions Bank, A Division of",NV-04
69,ORGANIZATION,PPP_LOANS,7205,a $5-10 million,"GOLDEN GATE BELL, LLC",3225-A SOUTH RAINBOW RD SUITE 102,LAS VEGAS,NV,89146,722513.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500.0,04/06/2020,"Citizens Bank, National Association",NV-01
3322,ORGANIZATION,PPP_LOANS,16342,"e $150,000-350,000","UFL, INC.",4530 ANDREW ST. #H,NORTH LAS VEGAS,NV,89081,484121.0,Corporation,Asian,Male Owned,Non-Veteran,,10.0,04/14/2020,Pacific City Bank,NV-04
1022,ORGANIZATION,PPP_LOANS,9544,"d $350,000-1 million","MACHABEE OFFICE ENVIRONMENTS, INC",6435 Sunset Corporate Dr.,LAS VEGAS,NV,89120,442110.0,Professional Association,Unanswered,Unanswered,Unanswered,,32.0,04/09/2020,"Zions Bank, A Division of",NV-03
2924,ORGANIZATION,PPP_LOANS,15487,"e $150,000-350,000",RARE PARTNERSHIP LLC,10690 Southern Highlands Pkwy #105,LAS VEGAS,NV,89141,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27.0,04/09/2020,"Zions Bank, A Division of",NV-03
2285,ORGANIZATION,PPP_LOANS,12391,"e $150,000-350,000",I.C.A.N. FAMILY SERVICES LLC,2340 PASEO DEL PRADO STE D102,LAS VEGAS,NV,89102,624190.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-01
149,ORGANIZATION,PPP_LOANS,7330,b $2-5 million,MOUNTAIN WEST EXCAVATION & UTILITIES L.L.C.,1851 WESTERN AVENUE,LAS VEGAS,NV,89102,238910.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,70.0,04/28/2020,Western Alliance Bank,NV-01
1985,ORGANIZATION,PPP_LOANS,11845,"e $150,000-350,000",DUTCH INC,3901 W Charleston Blvd Unit 201,Las Vegas,NV,89102,541219.0,Corporation,Unanswered,Unanswered,Unanswered,,17.0,04/30/2020,Cross River Bank,NV-01
251,ORGANIZATION,PPP_LOANS,7663,c $1-2 million,"DWWNVJHF, LLC",3255 E. SAHARA AVE,LAS VEGAS,NV,89104,441110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,135.0,04/14/2020,Comerica Bank,NV-01
1362,ORGANIZATION,PPP_LOANS,10448,"d $350,000-1 million",THE MIKE FERRY ORGANIZATION,7220 S CIMARRON RD STE 300,LAS VEGAS,NV,89113,541612.0,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,40.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-03
2759,ORGANIZATION,PPP_LOANS,13461,"e $150,000-350,000","ON STAGE THEATERS BRANSON, LLC",4570 W POST RD,LAS VEGAS,NV,89118,713990.0,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,58.0,04/13/2020,"Newtek Small Business Finance, Inc.",NV-03
1181,ORGANIZATION,PPP_LOANS,10110,"d $350,000-1 million",PROJECT LION LLC,3799 Las vegas BLVD,LAS VEGAS,NV,89109,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32.0,04/15/2020,Western Alliance Bank,NV-01
460,ORGANIZATION,PPP_LOANS,7880,"d $350,000-1 million","310, LLC",4270 DECATUR BLVD Suite B8-9,LAS VEGAS,NV,89103,454110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,70.0,04/29/2020,CommerceWest Bank,NV-01
96,ORGANIZATION,PPP_LOANS,7254,b $2-5 million,"C MARTIN COMPANY, INC",3395 W CHEYENNE AVE STE 102,NORTH LAS VEGAS,NV,89032,561210.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,143.0,04/28/2020,"Zions Bank, A Division of",NV-04
1651,ORGANIZATION,PPP_LOANS,11169,"e $150,000-350,000",AUTO PARTS 4 LESS INC,106 W MAYFLOWER AVE,NORTH LAS VEGAS,NV,89030,454113.0,Corporation,Unanswered,Male Owned,Non-Veteran,,,05/03/2020,"Wells Fargo Bank, National Association",NV-01
3378,ORGANIZATION,PPP_LOANS,16455,"e $150,000-350,000",VHM ENTERPRISES LLC,4750 FLAMINGO RD W,LAS VEGAS,NV,89103,541618.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,17.0,05/03/2020,"U.S. Bank, National Association",NV-01
1067,ORGANIZATION,PPP_LOANS,9614,"d $350,000-1 million",MURPHY ELECTRIC INC,7155 Bermuda Road Ste A,LAS VEGAS,NV,89119,238210.0,Subchapter S Corporation,White,Male Owned,Non-Veteran,,91.0,04/08/2020,"Zions Bank, A Division of",NV-01
2530,ORGANIZATION,PPP_LOANS,12929,"e $150,000-350,000","LONE MOUNTAIN AVIATION, INC.",2830 RANCHO DR N,LAS VEGAS,NV,89130,488190.0,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,26.0,04/15/2020,"U.S. Bank, National Association",NV-04
665,ORGANIZATION,PPP_LOANS,8264,"d $350,000-1 million",CROP DATA MANAGEMENT SYSTEMS INC,376 E WARM SPRINGS RD STE 220,LAS VEGAS,NV,89119,541511.0,Corporation,Unanswered,Unanswered,Unanswered,,33.0,05/03/2020,"Bank of America, National Association",NV-01
1896,ORGANIZATION,PPP_LOANS,11599,"e $150,000-350,000",CREWS DCA2 LLC,8685 W. SAHARA AVENUE SUITE 280,LAS VEGAS,NV,89117,488119.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0.0,08/04/2020,"Wells Fargo Bank, National Association",NV-03
2645,ORGANIZATION,PPP_LOANS,13104,"e $150,000-350,000","MOUNTAIN MAN, INC.",4035 S FORT APACHE RD,LAS VEGAS,NV,89147,451110.0,Corporation,White,Male Owned,Non-Veteran,,28.0,04/30/2020,City National Bank,NV-03
1338,ORGANIZATION,PPP_LOANS,10411,"d $350,000-1 million","TAND, INC.",4500 VANDENBERG DR,NORTH LAS VEGAS,NV,89081,484110.0,Corporation,White,Male Owned,Unanswered,,42.0,04/14/2020,City National Bank,NV-04
2505,ORGANIZATION,PPP_LOANS,12891,"e $150,000-350,000","LIFE OF LEADERSHIP, INC.",5735 S SANDHILL RD SUITE A,LAS VEGAS,NV,89120,611430.0,Corporation,Unanswered,Unanswered,Unanswered,,14.0,04/10/2020,Meadows Bank,NV-03
1084,ORGANIZATION,PPP_LOANS,9760,"d $350,000-1 million",NEVADA BALLET THEATER INC,1651 Inner Circle,LAS VEGAS,NV,89134,711120.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,60.0,04/08/2020,Lexicon Bank,NV-04
408,ORGANIZATION,PPP_LOANS,7828,c $1-2 million,STEELHEAD PRODUCTIONS INC,4220 W Windmill Lane Ste 100,LAS VEGAS,NV,89139,238350.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,63.0,04/08/2020,"Zions Bank, A Division of",NV-03
1373,ORGANIZATION,PPP_LOANS,10460,"d $350,000-1 million","THOMAS DERMATOLOGY, INC.",9097 W POST RD STE 100,LAS VEGAS,NV,89148,621111.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,95.0,04/13/2020,First Security Bank of Nevada,NV-03
1283,ORGANIZATION,PPP_LOANS,10350,"d $350,000-1 million","SMITH PLASTIC SURGERY INSTITUTE, PC",7650 W SAHARA AVE,LAS VEGAS,NV,89117,621111.0,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,40.0,04/16/2020,"JPMorgan Chase Bank, National Association",NV-03
2953,ORGANIZATION,PPP_LOANS,15544,"e $150,000-350,000","RG ELECTRIC, INC.",3430 W SUNSET RD STE A,LAS VEGAS,NV,89118,238210.0,Corporation,Unanswered,Unanswered,Unanswered,,14.0,04/15/2020,Western Alliance Bank,NV-03
1577,ORGANIZATION,PPP_LOANS,10916,"e $150,000-350,000",ALLSTATE PLUMBING LLC,5125 S Valley View Blvd,Las Vegas,NV,89118,238220.0,Corporation,Unanswered,Unanswered,Unanswered,,34.0,05/01/2020,WebBank,NV-03
166,ORGANIZATION,PPP_LOANS,7494,b $2-5 million,SILVER STATE FORD,6625 Roy Horn Way,LAS VEGAS,NV,89118,441110.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,141.0,04/08/2020,"Zions Bank, A Division of",NV-03
1814,ORGANIZATION,PPP_LOANS,11463,"e $150,000-350,000","CENTER CUT LANDSCAPING, LLC",2020 W BONANZA ROAD,LAS VEGAS,NV,89106,561730.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,44.0,04/08/2020,Cache Valley Bank,NV-01
56,ORGANIZATION,PPP_LOANS,7191,"e $150,000-350,000","COLLINS DENTAL, INC.",1900 7th Street,LAS VEGAS,NM,87701,621210.0,Corporation,Hispanic,Female Owned,Non-Veteran,,23.0,04/07/2020,Community 1st Bank Las Vegas,NM-03
2594,ORGANIZATION,PPP_LOANS,13010,"e $150,000-350,000",MCLEAN LANDSCAPING LLC,2620 REGATTA DR,LAS VEGAS,NV,89129,561730.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,08/08/2020,Greater Nevada CU,NV-04
1653,ORGANIZATION,PPP_LOANS,11173,"e $150,000-350,000","AVALANTE, LLC",3555 W NAPLES DR,LAS VEGAS,NV,89103,238320.0,Corporation,Unanswered,Unanswered,Unanswered,,23.0,04/29/2020,West Valley National Bank,NV-01
3193,ORGANIZATION,PPP_LOANS,15959,"e $150,000-350,000",SUPERIOR EVENT SERVICES LLC,5255 DECATUR BLVD,LAS VEGAS,NV,89118,722320.0,Corporation,Unanswered,Male Owned,Non-Veteran,,32.0,04/14/2020,Bank of George,NV-03
1812,ORGANIZATION,PPP_LOANS,11461,"e $150,000-350,000","CCRC FARMS, LLC",222 VIA MARNELL WAY,LAS VEGAS,NV,89119,112990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16.0,04/14/2020,City National Bank,NV-01
544,ORGANIZATION,PPP_LOANS,8123,"d $350,000-1 million",BACHAR DEVELOPMENT GROUP LLC,400 S 4TH ST,LAS VEGAS,NV,89101,611110.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,35.0,08/04/2020,Radius Bank,NV-01
2402,ORGANIZATION,PPP_LOANS,12609,"e $150,000-350,000",KBL INVESTMENTS LLC,5130 W PATRICK LN,LAS VEGAS,NV,89118,561730.0,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,40.0,04/29/2020,Bank of George,NV-03
1047,ORGANIZATION,PPP_LOANS,9586,"d $350,000-1 million","MDL GROUP, LLC",5960 S. Jones Blvd,LAS VEGAS,NV,89118,531312.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30.0,04/13/2020,"JPMorgan Chase Bank, National Association",NV-03
173,ORGANIZATION,PPP_LOANS,7508,b $2-5 million,"SUNSTATE COMPANIES, LLC",3101 E Craig Road,NORTH LAS VEGAS,NV,89030,561730.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,295.0,04/14/2020,"Zions Bank, A Division of",NV-01
2216,ORGANIZATION,PPP_LOANS,12252,"e $150,000-350,000","HAL MECHANICAL, INC",3885 Rockbottom St.,NORTH LAS VEGAS,NV,89030,238220.0,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,,04/27/2020,Lexicon Bank,NV-01
2566,ORGANIZATION,PPP_LOANS,12981,"e $150,000-350,000",MANDALA WORLD EQUESTRIAN ACADEMY INC,400 South 4th Street,Las Vegas,NV,89101,611110.0,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,,08/04/2020,Radius Bank,NV-01
2668,ORGANIZATION,PPP_LOANS,13151,"e $150,000-350,000",NAKATANI AMERICA & CO,9501 W Sahara Ave,Las Vegas,NV,89117,531110.0,Corporation,Unanswered,Unanswered,Unanswered,,20.0,04/28/2020,"U.S. Bank, National Association",NV-03
